   e1-e2       dGa       dGb       dGg
-185.909    11.439   182.265     2.865
-175.286    11.193   170.926     2.093
-164.662    10.978   160.392     1.328
-154.039    10.861   149.977     0.626
-143.416    11.177   140.024     0.282
-132.792    11.699   130.020     0.037
-122.169    12.555   120.461     0.000
-111.546    13.667   111.246     0.096
-100.922    15.005   102.186     0.263
 -90.299    16.631    93.410     0.564
 -79.676    18.989    85.440     1.303
 -69.052    21.266    77.401     1.656
 -58.429    24.007    69.944     2.132
 -47.806    26.992    62.602     2.451
 -37.182    30.791    55.955     2.959
 -26.559    34.611    49.548     3.022
 -15.936    38.654    43.017     2.498
  -5.312    43.596    37.805     2.278
   5.311    48.125    31.939     0.835
  15.934    53.256    26.568    -0.726
  26.558    57.783    20.878    -3.347
  37.181    64.236    16.771    -4.732
  47.805    70.874    13.060    -6.224
  58.428    77.214     9.098    -8.396
  69.051    83.898     5.132   -10.736
  79.675    90.930     2.022   -12.544
  90.298    98.550    -0.782   -14.188
 100.921   107.409    -2.274   -14.691
 111.545   116.749    -3.715   -15.223
 122.168   126.057    -5.015   -15.750
 132.791   135.907    -5.978   -16.017
 143.415   145.647    -6.523   -15.988
 154.038   155.539    -7.042   -15.966
 164.661   165.472    -7.613   -16.067
 175.285   175.750    -7.251   -15.314
 185.908   186.530    -7.081   -14.721
 217.778   218.565    -7.081   -13.721
