   e1-e2       dGa       dGb       dGg
-191.998    11.252   188.054     2.940
-181.601    10.905   177.408     2.118
-171.205    10.668   167.013     1.391
-160.808    10.723   156.950     0.916
-150.411    10.800   146.647     0.367
-140.015    11.081   136.954     0.000
-129.618    11.913   127.534     0.003
-119.222    12.741   118.184    -0.013
-108.825    14.084   109.447     0.307
 -98.429    16.016   101.234     1.038
 -88.032    18.091    93.181     1.742
 -77.636    20.356    85.276     2.365
 -67.239    23.271    78.269     3.384
 -56.843    26.301    70.866     4.110
 -46.446    29.528    64.136     4.667
 -36.049    33.127    57.625     5.105
 -25.653    36.482    51.119     4.741
 -15.256    41.861    45.988     5.572
  -4.860    46.637    40.603     5.177
   5.537    50.898    34.906     3.648
  15.933    56.139    30.166     2.610
  26.330    61.736    25.444     1.047
  36.726    67.996    21.529    -0.194
  47.123    74.659    18.049    -1.586
  57.519    80.815    14.013    -3.745
  67.916    87.391    10.462    -5.694
  78.313    96.047     8.621    -6.122
  88.709   103.776     6.387    -7.260
  99.106   112.787     4.971    -7.640
 109.502   121.691     3.562    -8.138
 119.899   131.132     2.603    -8.351
 130.295   140.690     1.970    -8.267
 140.692   149.879     1.309    -8.400
 151.088   159.921     0.545    -8.552
 161.485   170.162     0.420    -8.194
 171.881   180.705     0.688    -7.483
 192.674   201.903     1.149    -6.274
