   e1-e2       dGa       dGb       dGg
-199.070     7.136   191.011     1.910
-188.674     6.790   180.365     1.266
-178.277     6.553   169.970     0.722
-167.881     6.444   159.730     0.280
-157.484     6.685   149.604     0.129
-147.088     6.965   139.911     0.000
-136.691     7.798   130.492     0.307
-126.295     8.636   121.108     0.603
-115.898     9.968   112.404     1.283
-105.501    11.901   104.192     2.436
 -95.105    14.001    96.099     3.627
 -84.708    16.311    88.233     4.847
 -74.312    18.896    81.007     6.144
 -63.915    22.227    73.893     7.861
 -53.519    25.505    67.128     9.199
 -43.122    29.012    60.582    10.329
 -32.726    32.478    54.126    10.837
 -22.329    37.200    48.467    11.808
 -11.933    42.522    43.560    12.542
  -1.536    46.782    37.863    11.409
   8.861    52.128    33.157    10.641
  19.257    57.745    28.406     9.076
  29.654    64.032    24.543     7.807
  40.050    70.544    21.006     6.195
  50.447    76.699    16.971     3.832
  60.843    83.423    13.496     1.751
  71.240    91.932    11.578     0.997
  81.636    99.687     9.330    -0.351
  92.033   108.672     7.929    -0.940
 102.429   117.575     6.519    -1.639
 112.826   127.017     5.560    -2.028
 123.223   136.240     4.499    -2.543
 133.619   145.829     4.175    -2.465
 144.016   155.805     3.502    -2.700
 154.412   165.578     2.877    -2.964
 164.809   175.753     2.631    -2.894
 175.205   185.832     2.182    -3.048
 185.602   197.010     3.261    -1.715
 195.998   207.263     2.943    -1.773
 206.395   218.522     4.107    -0.436
