   e1-e2       dGa       dGb       dGg
-200.095     0.677   186.975     0.673
-190.433     0.677   177.093     0.673
-180.770     0.081   167.633     0.077
-171.108     0.045   157.833     0.041
-161.445     0.004   148.687     0.000
-151.783     0.110   138.855     0.105
-142.120     0.686   129.783     0.681
-132.458     1.719   121.123     1.714
-122.795     2.740   113.210     2.735
-113.133     3.991   104.869     3.985
-103.470     5.867    97.118     5.860
 -93.808     7.898    89.350     7.890
 -84.145    10.896    83.131    10.888
 -74.483    12.993    76.008    12.983
 -64.820    15.625    69.254    15.613
 -55.158    18.641    62.434    18.627
 -45.496    22.203    56.760    22.186
 -35.833    26.077    51.085    26.054
 -26.171    30.520    45.798    30.485
 -16.508    32.839    39.511    32.771
  -6.846    38.026    35.222    35.088
   2.817    43.858    31.082    31.043
  12.479    49.447    27.092    27.067
  22.142    54.742    22.801    22.783
  31.804    59.844    18.771    18.757
  41.467    66.259    16.109    16.097
  51.129    72.881    12.623    12.613
  60.792    79.508    10.149    10.140
  70.454    86.724     7.271     7.263
  80.117    93.059     3.902     3.895
  89.779   101.954     3.685     3.678
  99.441   109.597     1.880     1.875
 109.104   120.523     1.667     1.662
 118.766   126.890    -0.132    -0.137
 128.429   135.539    -0.358    -0.363
 138.091   144.087    -2.269    -2.273
 147.754   152.430    -3.480    -3.484
 157.416   163.106    -2.365    -2.369
 167.079   173.314    -1.208    -1.211
 176.741   182.897    -2.540    -2.543
 186.404   191.693    -2.828    -2.831
