   e1-e2       dGa       dGb       dGg
-198.641    10.905   193.244     2.806
-187.331    10.651   181.567     2.082
-176.022    10.398   170.290     1.332
-164.712    10.353   159.080     0.711
-153.402    10.515   148.095     0.243
-142.092    11.014   137.676     0.000
-130.783    11.920   127.517     0.076
-119.473    13.036   117.711     0.243
-108.163    14.703   108.354     0.777
 -96.853    16.696    99.321     1.451
 -85.544    19.075    90.676     2.277
 -74.234    21.819    82.528     3.147
 -62.924    25.249    74.919     4.332
 -51.614    28.673    67.410     5.097
 -40.305    32.148    59.937     5.315
 -28.995    36.785    53.479     6.034
 -17.685    41.171    46.922     5.729
  -6.376    46.206    41.139     5.376
   4.934    51.829    35.566     4.630
  16.244    57.790    30.296     3.401
  27.554    63.486    25.253     1.504
  38.863    70.733    21.290     0.303
  50.173    77.194    16.829    -1.932
  61.483    84.698    13.326    -3.619
  72.793    92.778    10.299    -5.060
  84.102   101.618     8.153    -5.846
  95.412   111.400     6.607    -6.239
 106.722   120.912     4.942    -6.908
 118.032   131.123     3.825    -7.148
 129.341   141.026     2.658    -7.581
 140.651   151.411     1.888    -7.695
 151.961   162.136     1.231    -7.735
 163.270   172.752     0.446    -8.006
 174.580   183.890     0.675    -7.337
 185.890   195.625     1.133    -6.470
 197.200   206.629     0.512    -6.702
 208.509   218.576     1.773    -5.107
 219.819   231.410     2.844    -3.711
 231.129   242.493     2.844    -3.442
