   e1-e2       dGa       dGb       dGg
-182.693    13.241   181.480     4.527
-172.205    12.939   170.176     3.701
-161.717    12.614   159.431     2.822
-151.228    12.443   148.924     2.032
-140.740    12.225   138.430     1.125
-130.251    12.284   128.209     0.391
-119.763    12.780   118.374     0.000
-109.275    13.814   109.219     0.031
 -98.786    14.712   100.038    -0.266
 -88.298    16.396    91.483     0.021
 -77.810    18.147    83.079     0.148
 -67.321    20.642    75.118     0.648
 -56.833    22.748    67.423     0.582
 -46.344    25.222    59.746     0.322
 -35.856    28.777    52.929     0.638
 -25.368    32.584    46.801     0.705
 -14.879    36.896    40.944     0.508
  -4.391    40.714    34.875    -0.734
   6.097    45.959    29.656    -1.465
  16.586    50.703    24.232    -3.196
  27.074    56.253    19.570    -4.727
  37.563    62.547    15.625    -6.125
  48.051    68.168    11.249    -8.318
  58.539    75.829     8.456    -9.252
  69.028    83.319     5.707   -10.436
  79.516    93.263     4.955    -9.738
  90.004   102.265     3.629    -9.918
 100.493   111.152     2.504   -10.092
 110.981   121.537     1.550   -10.033
 121.470   130.516     1.048    -9.816
 131.958   140.579     0.376    -9.802
 142.446   151.399     0.624    -8.971
