   e1-e2       dGa       dGb       dGg
-217.023     6.905   209.937     2.112
-205.714     6.778   196.167     1.683
-194.404     6.652   184.641     1.264
-183.094     6.398   173.364     0.702
-171.785     6.354   162.153     0.296
-160.475     6.455   151.110     0.000
-149.165     6.929   140.671     0.007
-137.855     7.856   130.493     0.403
-126.546     8.930   120.670     0.876
-115.236    10.569   111.262     1.784
-103.926    12.627   102.299     2.986
 -92.616    14.976    93.605     4.308
 -81.307    17.773    85.530     5.847
 -69.997    21.024    77.755     7.560
 -58.687    24.291    70.082     8.932
 -47.377    28.123    62.964    10.352
 -36.068    32.615    56.370    11.796
 -24.758    36.817    49.599    12.099
 -13.448    42.011    43.988    12.564
  -2.139    47.591    38.358    12.256
   9.171    53.792    33.331    11.480
  20.481    59.346    28.139     9.443
  31.791    66.380    23.977     7.919
  43.100    72.846    19.550     5.524
  54.410    80.633    16.293     3.862
  65.720    88.649    13.212     2.124
  77.030    97.582    11.141     1.172
  88.339   107.187     9.378     0.334
  99.649   116.821     7.885    -0.385
 110.959   126.814     6.517    -1.082
 122.269   136.907     5.543    -1.502
 133.578   147.018     4.433    -2.120
 144.888   157.532     3.602    -2.496
 156.198   168.187     2.903    -2.826
 167.508   179.235     2.897    -2.515
 178.817   190.558     2.826    -2.285
 190.127   202.007     2.977    -1.868
 201.437   213.278     3.131    -1.468
 212.746   223.406     2.069    -2.307
 224.056   236.100     3.335    -0.843
 235.366   249.089     4.897     0.906
 246.676   260.404     5.917     2.063
