   e1-e2       dGa       dGb       dGg
-182.475    12.926   180.946     4.532
-171.986    12.624   169.642     3.723
-161.498    12.299   158.898     2.861
-151.010    12.008   148.251     1.964
-140.521    11.795   137.767     1.086
-130.033    11.826   127.561     0.354
-119.544    12.347   117.697     0.000
-109.056    13.499   108.686     0.183
 -98.568    14.464    99.568    -0.031
 -88.079    16.081    90.949     0.232
 -77.591    17.895    82.549     0.444
 -67.103    20.327    74.584     0.926
 -56.614    22.514    66.878     0.943
 -46.126    25.029    59.277     0.761
 -35.637    28.542    52.417     1.044
 -25.149    32.107    46.065     0.881
 -14.661    36.270    40.040     0.531
  -4.172    40.152    33.992    -0.685
   6.316    45.377    28.785    -1.452
  16.804    50.228    23.437    -3.147
  27.293    55.820    18.843    -4.667
  37.781    62.011    14.779    -6.243
  48.270    68.351    11.015    -7.833
  58.758    75.893     8.089    -8.941
  69.246    83.655     5.663    -9.855
  79.735    92.948     4.421    -9.731
  90.223   102.103     3.062    -9.954
 100.711   111.055     2.000   -10.080
 111.200   121.198     0.998   -10.131
 121.688   130.011     0.025   -10.399
 132.177   139.903    -0.534   -10.308
 142.665   150.052    -1.252   -10.426
 153.153   160.047    -1.032    -9.717
 163.642   171.645    -0.558    -8.709
 174.130   180.652    -2.038    -9.832
 184.618   190.587    -2.197    -9.592
